"","network_number","dataset_id","type","nnodes","nedges","connectance","linkage_density","network_description","doi","year","first_author","paper_url","ecosystem","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","ID","solar_radiation","ID.1","human_footprint","network_number_list","distance","sq_wasserstein_in_out_location_PERC","sq_wasserstein_in_out_size_PERC","sq_wasserstein_in_out_shape_PERC"
"31","Network #1647","Dataset #168","mutualistic",16,21,0.08203125,1.3125,"Plant-pollinator network on Mahé in the Seychelles, Indian Ocean","10.1890/14-0024.1 ",2014,"kaiser-bunbury","https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/14-0024.1","terrestrial",278.333333333333,29,48.6666666666667,1017,309.333333333333,249.666666666667,59.6666666666667,287.333333333333,269.333333333333,290,265,1780.66666666667,1905.66666666667,1662,7441.66666666667,1865.33333333333,1696.66666666667,1848.66666666667,1713.66666666667,94,20610.5,94,NA,"Network #1647",0.0434565279078265,6.97605471049505,8.81100140024084,84.2129438892641
"32","Network #1648","Dataset #168","mutualistic",20,28,0.07,1.4,"Plant-pollinator network on Mahé in the Seychelles, Indian Ocean","10.1890/14-0024.1 ",2014,"kaiser-bunbury","https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/14-0024.1","terrestrial",278.333333333333,29,48.6666666666667,1017,309.333333333333,249.666666666667,59.6666666666667,287.333333333333,269.333333333333,290,265,1780.66666666667,1905.66666666667,1662,7441.66666666667,1865.33333333333,1696.66666666667,1848.66666666667,1713.66666666667,95,20610.5,95,NA,"Network #1648",0.0843799928353455,53.9359030284809,3.21852769302883,42.8455692784902
"33","Network #1649","Dataset #168","mutualistic",19,21,0.0581717451523546,1.10526315789474,"Plant-pollinator network on Mahé in the Seychelles, Indian Ocean","10.1890/14-0024.1 ",2014,"kaiser-bunbury","https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/14-0024.1","terrestrial",278.333333333333,29,48.6666666666667,1017,309.333333333333,249.666666666667,59.6666666666667,287.333333333333,269.333333333333,290,265,1780.66666666667,1905.66666666667,1662,7441.66666666667,1865.33333333333,1696.66666666667,1848.66666666667,1713.66666666667,96,20610.5,96,NA,"Network #1649",0.147363145910029,46.9941633877768,6.37779242400388,46.6280441882193
"34","Network #1650","Dataset #168","mutualistic",27,36,0.0493827160493827,1.33333333333333,"Plant-pollinator network on Mahé in the Seychelles, Indian Ocean","10.1890/14-0024.1 ",2014,"kaiser-bunbury","https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/14-0024.1","terrestrial",278.333333333333,29,48.6666666666667,1017,309.333333333333,249.666666666667,59.6666666666667,287.333333333333,269.333333333333,290,265,1780.66666666667,1905.66666666667,1662,7441.66666666667,1865.33333333333,1696.66666666667,1848.66666666667,1713.66666666667,97,20610.5,97,NA,"Network #1650",0.0813175046648433,34.1596534378005,16.1778695396202,49.6624770225793
"35","Network #951","Dataset #69","mutualistic",68,91,0.0196799307958478,1.33823529411765,"Plant-polinator interaction in subnival feldfield in the Andrean zone on the Cordon del Cepo in central Chile","10.2307/2442833",1982,"arroyo","http://www.jstor.org/stable/2442833","terrestrial",135.666666666667,264.666666666667,61.6666666666667,5488.66666666667,345,-86,431,187.666666666667,87,201.333333333333,69.3333333333333,457,583.333333333333,351.333333333333,7342,540.666666666667,384,524.333333333333,397.333333333333,98,16673.6666666667,98,8.32347774505615,"Network #951",0.0816428128195356,40.0983595255514,17.7286626969498,42.1729777774988
"36","Network #1614","Dataset #167","mutualistic",56,114,0.0363520408163265,2.03571428571429,"Plant-pollinator system at two sites in Black River Gorges National Park, Mauritius","10.1111/j.1461-0248.2009.01437.x",2010,"kaiser-bunbury","https://onlinelibrary.wiley.com/doi/full/10.1111/j.1461-0248.2009.01437.x","terrestrial",262,62,48.6666666666667,2155.33333333333,327.333333333333,202.333333333333,124.666666666667,285.666666666667,237.666666666667,287.333333333333,235.666666666667,1483.66666666667,1802.33333333333,1216.33333333333,20413.6666666667,1747,1253,1723,1264.66666666667,100,18401,100,11.8654489517212,"Network #1614",0.019802436995647,4.89546463046304,16.6057667764938,78.4987685930432
"37","Network #5022","Dataset #179","mutualistic",37,79,0.0577063550036523,2.13513513513514,"Plant-pollinator network sampled in the Cap de Creus region, Spain; this site is invaded by Carpobrotus affine acinaciformis","10.1007/s00442-007-0946-1",2008,"ignasi bartomeus","https://doi.org/10.1007/s00442-007-0946-1","terrestrial",173,197.333333333333,50.3333333333333,6406,386,-6,392,251,106.333333333333,256,99,784,1117.66666666667,504.333333333333,21854.6666666667,1061.66666666667,539,1047,555.666666666667,102,14644.25,102,17,"Network #5022",2.17319615927069e-17,0,0,100
"38","Network #5024","Dataset #179","mutualistic",32,52,0.05078125,1.625,"Plant-pollinator network sampled in the Cap de Creus region, Spain; this site is invaded by Opuntia stricta","10.1007/s00442-007-0946-1",2008,"ignasi bartomeus","https://doi.org/10.1007/s00442-007-0946-1","terrestrial",160,217,52,6572.66666666667,385.333333333333,-34,419.333333333333,241.333333333333,90,245.333333333333,84.3333333333333,763,1111,470.666666666667,22815.6666666667,1052.66666666667,506.333333333333,1042,522,104,14527,104,30.5026359558105,"Network #5024",3.85206236797534e-17,0,0,100
"39","Network #5025","Dataset #179","mutualistic",29,38,0.0451843043995244,1.31034482758621,"Plant-pollinator network sampled in the Cap de Creus region, Spain","10.1007/s00442-007-0946-1",2008,"ignasi bartomeus","https://doi.org/10.1007/s00442-007-0946-1","terrestrial",173,197.333333333333,50.3333333333333,6406,386,-6,392,251,106.333333333333,256,99,784,1117.66666666667,504.333333333333,21854.6666666667,1061.66666666667,539,1047,555.666666666667,105,14644.25,105,20.427562713623,"Network #5025",2.80406020650381e-17,0,0,100
"40","Network #5026","Dataset #179","mutualistic",35,50,0.0408163265306122,1.42857142857143,"Plant-pollinator network sampled in the Cap de Creus region, Spain; this site is invaded by Opuntia stricta","10.1007/s00442-007-0946-1",2008,"ignasi bartomeus","https://doi.org/10.1007/s00442-007-0946-1","terrestrial",173,197.333333333333,50.3333333333333,6406,386,-6,392,251,106.333333333333,256,99,784,1117.66666666667,504.333333333333,21854.6666666667,1061.66666666667,539,1047,555.666666666667,106,14644.25,106,20.427562713623,"Network #5026",4.64496166397935e-17,0,0,100
